업종명,업소명,소재지(도로명),소재지(지번),소재지전화,데이터기준일
일반음식점,충주식당,경상북도 포항시 북구 청하면 비학로 2197,경상북도 포항시 북구 청하면 필화리 634-8 ,054- 231-5704,2025-08-14
일반음식점,까투리(우방비치점),"경상북도 포항시 북구 학전로 28 (항구동,외1필지)",경상북도 포항시 북구 항구동 7-19 외1필지 ,   054-231-5858,2025-08-14
일반음식점,함지박손칼국수,경상북도 포항시 북구 대곡로 50 (두호동),경상북도 포항시 북구 두호동 1095-5 ,   054-231-9392,2025-08-14
일반음식점,국민7차회센타,경상북도 포항시 남구 오천읍 문덕로64번길 2 (상가9호),경상북도 포항시 남구 오천읍 문덕리 368-1 상가9호 ,   054-243-5741,2025-08-14
일반음식점,해맞이간이역,"경상북도 포항시 북구 삼호로 415, 주상가동 203호 (환호동, 환호해맞이그린빌)",경상북도 포항시 북구 환호동 409-1 환호해맞이그린빌 주상가동 203호,   054-244-0092,2025-08-14
일반음식점,동궁찜닭,"경상북도 포항시 북구 삼흥로32번길 13, 101호 (장성동, 경진빌딩)",경상북도 포항시 북구 장성동 1354 ,   054-252-1500,2025-08-14
일반음식점,더 해도(The haedo),경상북도 포항시 남구 축항로 24 (해도동),경상북도 포항시 남구 해도동 24-14 ,   054-254-7872,2025-08-14
일반음식점,추억묻은또래야,경상북도 포항시 북구 흥해읍 신흥로 892,경상북도 포항시 북구 흥해읍 마산리 119 ,   054-261-2227,2025-08-14
일반음식점,건강밥상,경상북도 포항시 북구 흥해읍 동해대로 1600,경상북도 포항시 북구 흥해읍 마산리 37-1 ,   054-261-3666,2025-08-14
일반음식점,남쪽음식(MIEN TAY QUAN),,경상북도 포항시 북구 흥해읍 마산리 269-1 (마산종합상가 A동 105호) ,   054-262-1070,2025-08-14
일반음식점,동창생,,경상북도 포항시 북구 흥해읍 약성리 221-2 ,   054-262-1395,2025-08-14
일반음식점,네네치킨(달전점)/집밥도시락,,경상북도 포항시 북구 흥해읍 학천리 456 (흥해삼도미래타운1차상가106동102호) ,   054-262-8201,2025-08-14
일반음식점,오션힐스포항점그늘집2,경상북도 포항시 북구 송라면 대전길 7 (외39(오션힐스포항컨트리클럽내)),경상북도 포항시 북구 송라면 대전리 산 208 외39(오션힐스포항컨트리클럽내) ,   054-262-9988,2025-08-14
일반음식점,오션힐스포항점 그늘집1,경상북도 포항시 북구 송라면 대전길 7 (외39(오션힐스포항컨트리클럽내)),경상북도 포항시 북구 송라면 대전리 산 208 외39(오션힐스포항컨트리클럽내) ,   054-262-9988,2025-08-14
일반음식점,이모집구이,경상북도 포항시 남구 뱃머리길 24 (상도동),경상북도 포항시 남구 상도동 144-4 ,   054-272-2516,2025-08-14
일반음식점,참서리,"경상북도 포항시 남구 효자동길10번길 11, F동 102호 (효자동,지곡주택 조은마을)",경상북도 포항시 남구 효자동 229-224 지곡주택 조은마을 F동 102호,   054-273-2825,2025-08-14
일반음식점,일미식당,경상북도 포항시 남구 중앙로28번길 1 (해도동),경상북도 포항시 남구 해도동 97-1 ,   054-275-1976,2025-08-14
일반음식점,송학식당,"경상북도 포항시 남구 희망대로 625 (대잠동,(3층))",경상북도 포항시 남구 대잠동 909-6 (3층) ,   054-277-2356,2025-08-14
일반음식점,운하아구찜,경상북도 포항시 남구 운하로 48 (송도동),경상북도 포항시 남구 송도동 484-11 ,   054-277-6190,2025-08-14
일반음식점,세운식당,"경상북도 포항시 남구 새천년대로460번길 19 (대잠동,(1층))",경상북도 포항시 남구 대잠동 921-29 (1층) ,   054-281-3500,2025-08-14
일반음식점,우성식육식당,"경상북도 포항시 남구 효자동길5번길 8-1 (효자동,(1층))",경상북도 포항시 남구 효자동 253-144 (1층) ,   054-281-5871,2025-08-14
일반음식점,의정부식부대찌게,"경상북도 포항시 남구 대이로159번길 12-10, 1층 (이동)",경상북도 포항시 남구 이동 651-10 1층 ,   054-281-6300,2025-08-14
일반음식점,승리식당,,경상북도 포항시 남구 효자동 253-127 A동 109호,   054-281-9768,2025-08-14
